BTmag,e_Plx,e_DEdeg,e_RAdeg,pmDE,pmRA,Plx,Vmag,B-V,VTmag,V-I,Hpmag,e_B-V,e_V-I,r_Vmag,r_SpType,SpType
7.982,0.88,0.45,0.76,-3.14,59.32,6.78,6.46,1.176,6.587,1.14,6.6213,0.003,0.0,1,3,1
8.95,1.18,0.58,1.04,4.06,18.69,3.15,8.87,0.081,8.884,0.09,8.9076,0.003,0.0,1,2,0
10.059,1.44,0.96,0.98,7.35,31.28,6.1,9.64,0.432,9.616,0.5,9.7379,0.021,0.02,1,0,0
9.688,2.41,1.18,2.21,-36.54,12.67,8.21,9.15,0.424,9.191,0.57,9.2118,0.1,0.09,0,3,0
9.593,1.25,0.65,1.06,-2.29,52.2,4.31,9.04,0.422,9.161,0.49,9.1337,0.023,0.02,1,7,0
9.54,1.13,0.51,0.91,-64.74,-11.03,3.38,8.09,1.125,8.215,1.09,8.2588,0.015,0.02,1,3,1
11.258,0.94,0.68,0.76,-5.83,-2.22,1.06,9.06,1.688,9.219,1.71,9.1703,0.047,0.05,1,0,1
9.433,1.11,0.59,0.82,3.86,21.93,4.81,9.16,0.232,9.165,0.26,9.2341,0.005,0.01,0,2,1
11.293,2.09,1.24,1.79,-1.32,-2.2,1.86,11.14,0.041,11.217,0.06,11.1931,0.002,0.0,0,7,0
6.598,0.57,0.45,0.42,-1.83,-3.27,0.93,6.24,0.332,6.296,0.43,6.3325,0.034,0.03,0,7,1
9.987,4.61,3.45,6.27,-20.17,-24.45,5.68,9.44,0.439,9.536,0.51,9.5343,0.026,0.03,1,2,0
7.347,0.81,0.42,0.61,5.06,72.54,15.84,6.96,0.353,7.007,0.41,7.0474,0.015,0.02,1,2,0
7.9,0.95,0.61,0.58,-0.68,-0.95,2.79,7.94,-0.023,7.949,0.0,7.943,0.003,0.0,1,7,1
8.821,0.87,0.67,0.64,0.85,-1.44,0.81,8.69,0.12,8.683,0.13,8.7318,0.015,0.01,0,7,0
10.209,1.04,0.8,0.79,25.33,22.94,2.11,9.01,0.956,9.1,0.94,9.1727,0.025,0.02,1,0,1
9.972,1.17,0.76,0.67,-5.03,5.81,3.48,8.68,1.011,8.793,0.99,8.8429,0.014,0.01,1,1,1
8.867,0.97,0.67,0.63,-9.58,25.57,13.14,8.29,0.488,8.359,0.56,8.4013,0.01,0.01,1,0,0
10.133,1.45,0.73,0.82,-11.99,12.38,2.83,9.67,0.397,9.727,0.46,9.7755,0.004,0.0,0,1,0
9.209,1.11,0.62,0.95,-143.11,280.23,25.29,8.24,0.78,8.325,0.82,8.4018,0.01,0.01,0,2,0
9.009,0.86,0.69,0.63,-2.05,-6.07,9.67,8.44,0.508,8.476,0.58,8.5569,0.012,0.01,1,0,0
4.492,0.92,0.42,0.9,-7.28,28.57,14.31,4.55,-0.047,4.539,-0.03,4.5366,0.003,0.02,0,3,1
8.56,0.96,0.58,0.86,-17.68,88.62,20.44,7.66,0.741,7.738,0.79,7.8093,0.01,0.01,1,2,1
9.368,2.44,3.71,3.05,-58.93,150.24,14.36,8.59,0.616,8.664,0.68,8.7158,0.003,0.0,1,0,0
8.798,1.04,0.66,0.78,-7.7,9.33,4.59,8.54,0.23,8.562,0.26,8.6045,0.015,0.02,1,7,0
10.381,1.44,0.8,1.07,-127.37,106.17,12.24,9.58,0.7,9.635,0.75,9.7175,0.005,0.01,1,1,0
9.0,0.85,0.61,0.61,-2.43,-1.27,-0.56,8.59,0.36,8.69,0.42,8.695,0.014,0.01,0,7,1
10.376,0.97,0.77,0.83,-33.58,7.29,6.67,9.62,0.657,9.643,0.72,9.7543,0.037,0.03,1,0,0
8.926,0.97,0.64,0.54,-8.76,-15.65,3.93,7.65,0.992,7.771,0.97,7.816,0.01,0.01,1,7,1
6.975,0.92,0.49,0.78,2.05,21.9,4.24,7.09,-0.085,7.063,-0.07,7.0614,0.004,0.02,1,2,0
6.215,0.58,0.45,0.39,-0.37,-0.99,0.89,5.9,0.274,5.927,0.31,5.9712,0.004,0.01,1,7,1
9.072,0.94,0.52,0.68,-25.56,67.55,6.58,8.41,0.563,8.466,0.64,8.5316,0.009,0.01,1,2,0
8.613,0.84,0.6,0.62,-4.11,21.79,4.12,8.55,0.037,8.568,0.05,8.5857,0.007,0.01,0,0,0
8.679,1.01,0.94,0.73,-53.62,5.43,14.91,8.11,0.484,8.176,0.56,8.2193,0.009,0.01,1,1,0
10.771,1.57,0.77,1.34,-5.18,-0.26,0.58,9.44,1.069,9.517,1.03,9.6157,0.037,0.03,1,3,1
10.284,1.55,0.76,1.14,-51.95,29.29,7.92,9.6,0.549,9.697,0.62,9.7163,0.03,0.03,1,3,0
7.193,0.92,0.42,0.84,-60.27,53.77,11.29,5.78,1.084,5.898,1.05,5.9563,0.007,0.01,0,3,1
6.383,0.91,0.48,0.82,3.44,29.15,7.75,6.38,0.006,6.378,0.03,6.391,0.004,0.0,1,2,0
10.12,1.12,0.78,0.65,20.09,59.8,5.27,8.8,1.031,8.915,1.0,8.9692,0.016,0.01,1,0,1
7.66,0.85,0.59,0.49,-4.35,7.15,2.46,7.79,-0.089,7.771,-0.07,7.7637,0.007,0.01,1,7,0
10.871,1.48,0.89,1.35,33.72,293.22,22.52,9.8,0.855,9.841,0.9,9.9436,0.006,0.01,0,1,0
7.081,0.93,0.47,0.7,-11.88,-6.49,2.03,4.99,1.619,5.129,1.64,5.0996,0.005,0.01,1,7,1
7.852,0.64,0.5,0.54,-41.13,11.31,10.92,7.33,0.444,7.375,0.51,7.4271,0.01,0.01,1,7,0
10.218,0.79,0.63,0.67,17.25,15.43,0.95,8.93,1.025,9.02,1.0,9.0957,0.022,0.02,1,0,1
10.071,0.93,0.74,0.76,-3.02,10.85,3.4,8.73,1.036,8.86,1.01,8.8943,0.028,0.02,1,0,1
10.669,1.49,0.67,1.14,-12.14,-11.31,-0.43,9.18,1.169,9.287,1.13,9.3476,0.034,0.03,1,3,1
11.636,1.05,0.58,0.7,-2.54,-4.57,2.15,8.12,2.53,8.43,2.59,8.1265,0.069,0.07,1,4,1
10.716,1.57,0.66,1.12,-11.15,-3.21,1.99,9.26,1.149,9.36,1.11,9.4297,0.036,0.03,1,3,1
10.479,1.32,0.69,1.13,0.38,11.34,1.59,8.94,1.181,9.082,1.14,9.0993,0.028,0.03,1,2,1
6.272,1.12,0.85,0.84,-12.73,-11.94,1.94,6.11,0.159,6.106,0.18,6.1627,0.006,0.01,1,7,1
8.78,0.81,0.53,0.49,14.58,9.42,2.46,7.13,1.26,7.283,1.22,7.2944,0.006,0.01,1,1,1
5.456,0.53,0.41,0.45,-13.62,30.0,5.7,5.59,-0.1,5.571,-0.08,5.5635,0.003,0.0,1,7,1
7.869,0.84,0.49,0.68,-42.24,7.51,11.46,7.37,0.422,7.422,0.49,7.4635,0.01,0.01,1,7,1
7.033,0.58,0.45,0.42,23.8,95.58,10.3,5.68,1.051,5.802,1.02,5.8511,0.005,0.0,1,6,1
9.472,1.2,0.66,0.9,-9.18,-18.85,4.16,9.06,0.368,9.095,0.43,9.1456,0.018,0.02,1,2,0
8.284,1.16,0.59,1.02,2.9,21.46,5.65,8.28,0.002,8.282,0.02,8.2934,0.01,0.01,0,2,1
6.87,4.3,2.4,3.42,100.49,769.11,27.18,6.09,0.632,6.176,0.73,6.2283,0.011,0.03,1,7,0
9.466,0.97,0.54,0.85,-20.85,2.7,2.91,7.83,1.256,7.973,1.21,7.9866,0.014,0.01,1,2,1
6.602,0.82,0.59,0.58,-3.04,9.06,2.13,6.61,0.025,6.575,0.04,6.621,0.008,0.01,1,7,0
8.045,0.77,0.45,0.61,-14.52,112.32,5.34,6.25,1.368,6.41,1.34,6.3941,0.008,0.01,1,6,1
8.763,0.93,0.56,0.79,-7.45,382.15,39.06,7.82,0.755,7.902,0.8,7.9628,0.013,0.01,1,7,0
9.822,1.31,0.65,1.0,-91.68,-14.7,11.56,8.97,0.674,9.067,0.73,9.1099,0.019,0.02,1,3,0
8.024,1.21,0.76,0.76,-65.33,17.18,14.53,7.47,0.55,7.407,0.62,7.5396,0.015,0.01,0,7,0
8.986,0.71,0.59,0.56,-97.72,52.32,22.09,8.13,0.71,8.196,0.76,8.2684,0.015,0.01,0,0,0
9.46,1.1,0.68,0.65,-3.47,23.21,4.41,8.23,0.986,8.312,0.97,8.3905,0.015,0.01,1,7,1
8.909,0.77,0.63,0.6,-27.33,-0.59,8.49,8.41,0.461,8.451,0.53,8.5093,0.015,0.02,0,0,0
